                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  2.987,                 4.1038,                 4.2237,                0.00398,                0.84921,                0.00784,                0.00305,                 2.9517,                 3.7992,                 4.1451,              0.0002858,              0.0002858,              0.0002858
                      1,                 3.0127,                 4.0452,                 4.1244,                0.00321,                0.79609,                0.08212,                0.02543,                 2.6474,                 4.4879,                 4.0805,             0.00058396,             0.00058396,             0.00058396
                      2,                  2.972,                  3.852,                 3.8986,                0.00805,                0.61569,                0.01493,                 0.0057,                 3.3319,                    inf,                 11.043,             0.00088013,             0.00088013,             0.00088013
                      3,                 2.9274,                 3.8245,                 3.7209,                 0.4726,                0.04762,                0.04157,                0.01312,                 4.6654,                 6.5579,                 7.0526,              0.0011743,              0.0011743,              0.0011743
                      4,                 2.8754,                 3.7383,                  3.579,                0.97385,                0.04762,                0.06533,                0.01941,                 4.3365,                 5.1585,                 5.6873,              0.0014101,              0.0014101,              0.0014101
                      5,                 2.8864,                 3.7384,                  3.542,                0.07196,                 0.0754,                0.03043,                0.01424,                 4.5084,                 4.9429,                 5.8376,              0.0014101,              0.0014101,              0.0014101
                      6,                 2.8604,                 3.7302,                  3.484,                0.07237,                0.05159,                0.01327,                 0.0033,                 2.9845,                 36.443,                 5.3104,              0.0014054,              0.0014054,              0.0014054
                      7,                 2.8764,                 3.6982,                 3.4292,                0.00466,                0.34829,                0.00468,                0.00181,                 2.6951,                    inf,                 3.5214,              0.0014007,              0.0014007,              0.0014007
                      8,                 2.7601,                 3.6668,                 3.3104,                0.00274,                0.57845,                0.00268,                 0.0008,                 3.1904,                    inf,                 3.7281,               0.001396,               0.001396,               0.001396
                      9,                 2.7502,                  3.648,                 3.2422,                0.00258,                0.62149,                0.00273,                0.00099,                 3.0318,                    inf,                 3.6583,              0.0013913,              0.0013913,              0.0013913
                     10,                 2.7264,                 3.5885,                 3.1778,                0.01369,                0.29365,                0.01566,                 0.0053,                 3.3174,                 44.324,                 5.1588,              0.0013866,              0.0013866,              0.0013866
                     11,                 2.7115,                  3.597,                 3.2482,                 0.0053,                0.82387,                0.00899,                0.00291,                 2.9182,                 12.538,                 3.6806,              0.0013818,              0.0013818,              0.0013818
                     12,                 2.6633,                 3.5255,                 3.0794,                0.02726,                 0.5986,                0.07447,                0.03055,                 2.9354,                 10.048,                 3.4992,              0.0013771,              0.0013771,              0.0013771
                     13,                 2.6227,                 3.5346,                 3.0901,                 0.6844,                0.13889,                0.06572,                0.02256,                 2.7692,                 7.2322,                 3.5392,              0.0013724,              0.0013724,              0.0013724
                     14,                 2.6429,                   3.58,                 3.0758,                0.10179,                0.42613,                0.11195,                0.03718,                 2.8972,                 6.7777,                 3.4806,              0.0013677,              0.0013677,              0.0013677
                     15,                 2.5514,                 3.4873,                 3.0277,                 0.0404,                0.54335,                0.04978,                0.01564,                 2.5367,                 30.072,                 3.0602,               0.001363,               0.001363,               0.001363
                     16,                 2.5863,                 3.3749,                 2.9193,                0.14977,                0.39225,                0.19758,                0.06723,                 2.6316,                 3.5691,                 3.0829,              0.0013583,              0.0013583,              0.0013583
                     17,                 2.5781,                 3.3364,                  2.891,                0.76912,                0.05556,                0.13326,                0.04133,                 2.7912,                 3.2458,                 3.2818,              0.0013535,              0.0013535,              0.0013535
                     18,                 2.5183,                 3.2709,                 2.8549,                0.08274,                0.46612,                0.12161,                0.03486,                 2.4885,                 4.3483,                 3.2101,              0.0013488,              0.0013488,              0.0013488
                     19,                 2.4823,                 3.3058,                 2.8283,                0.36971,                0.46825,                0.12642,                0.04781,                 2.3516,                 3.8866,                  2.977,              0.0013441,              0.0013441,              0.0013441
                     20,                 2.5145,                 3.1134,                 2.7098,                0.03826,                 0.3296,                0.08921,                0.03238,                 2.4744,                  4.443,                 3.1195,              0.0013394,              0.0013394,              0.0013394
                     21,                 2.4367,                 3.0731,                 2.7358,                 0.1094,                0.34646,                0.15849,                0.05769,                 2.3891,                 3.3687,                  3.052,              0.0013347,              0.0013347,              0.0013347
                     22,                 2.3758,                 3.0394,                 2.6666,                0.15496,                0.23382,                0.15238,                0.05633,                 2.7773,                  2.929,                 3.3302,                0.00133,                0.00133,                0.00133
                     23,                  2.456,                 3.1357,                 2.7213,                0.06683,                0.19173,                0.03595,                0.01166,                 2.9812,                 3.7361,                 3.7415,              0.0013253,              0.0013253,              0.0013253
                     24,                 2.3675,                  2.981,                  2.616,                0.02988,                0.05556,                0.04922,                0.01667,                 2.7487,                 3.4336,                 3.5592,              0.0013205,              0.0013205,              0.0013205
                     25,                 2.3163,                 2.9617,                 2.5831,                0.16086,                0.23962,                0.18853,                0.06477,                 2.6106,                 2.6283,                 3.1465,              0.0013158,              0.0013158,              0.0013158
                     26,                 2.3032,                  2.976,                  2.527,                0.26547,                0.41941,                0.29007,                0.11414,                 2.2288,                  2.405,                 2.8121,              0.0013111,              0.0013111,              0.0013111
                     27,                 2.2819,                 2.8443,                 2.5131,                 0.7021,                0.02564,                0.01757,                0.00318,                 2.9428,                  3.989,                  3.775,              0.0013064,              0.0013064,              0.0013064
                     28,                 2.2708,                 2.8875,                 2.5114,                0.00268,                0.15385,                0.00563,                0.00182,                 3.3563,                  4.316,                 3.7934,              0.0013017,              0.0013017,              0.0013017
                     29,                 2.1816,                  2.761,                 2.4172,                0.04731,                0.05128,                0.04575,                0.01072,                 2.5583,                 3.6695,                 3.2518,               0.001297,               0.001297,               0.001297
                     30,                 2.3064,                 2.7879,                 2.4688,                0.19396,                0.12637,                0.13255,                0.04794,                 2.3077,                 2.9485,                 2.9696,              0.0012922,              0.0012922,              0.0012922
                     31,                 2.1497,                 2.6448,                 2.3574,                0.04814,                0.07692,                0.03844,                0.01352,                 2.8645,                  3.802,                 3.5999,              0.0012875,              0.0012875,              0.0012875
                     32,                 2.1081,                 2.5793,                   2.32,                0.20982,                0.34447,                0.12435,                0.04047,                 2.6686,                 3.1698,                  3.094,              0.0012828,              0.0012828,              0.0012828
                     33,                 2.1287,                 2.6184,                 2.3627,                 0.1437,                0.24134,                 0.1939,                 0.0578,                 2.2378,                 2.5331,                 2.7767,              0.0012781,              0.0012781,              0.0012781
                     34,                 2.1152,                 2.5876,                 2.3339,                0.16655,                0.12454,                0.09897,                  0.038,                 2.5793,                 2.9169,                 3.1557,              0.0012734,              0.0012734,              0.0012734
                     35,                 2.1342,                 2.6436,                 2.3314,                 0.1592,                0.27686,                 0.2101,                0.08683,                 2.8495,                 2.3098,                 3.1642,              0.0012687,              0.0012687,              0.0012687
                     36,                 2.0793,                 2.5195,                 2.2969,                0.10982,                0.31441,                 0.1889,                0.08424,                 2.2838,                 2.4531,                 2.7571,               0.001264,               0.001264,               0.001264
                     37,                 1.9938,                 2.4607,                 2.2391,                0.33189,                0.26129,                 0.3347,                0.12855,                 2.2885,                 2.4145,                 2.7047,              0.0012592,              0.0012592,              0.0012592
                     38,                 2.0224,                 2.5231,                 2.2494,                0.31121,                0.25733,                0.22526,                0.08862,                 2.2934,                 2.3949,                 2.6765,              0.0012545,              0.0012545,              0.0012545
                     39,                 2.0635,                 2.4952,                 2.2942,                0.39791,                0.39123,                 0.2395,                0.09626,                 2.4235,                 3.3834,                 2.8424,              0.0012498,              0.0012498,              0.0012498
                     40,                 2.0126,                 2.4945,                 2.2516,                0.22075,                0.45266,                0.25118,                0.10477,                  2.211,                 2.5417,                 2.7106,              0.0012451,              0.0012451,              0.0012451
                     41,                 1.9549,                 2.3552,                  2.221,                0.14294,                0.34219,                0.20031,                 0.0781,                 2.2792,                 2.2704,                 2.8536,              0.0012404,              0.0012404,              0.0012404
                     42,                 1.9421,                 2.2896,                 2.1828,                0.12093,                0.16239,                 0.2091,                0.09053,                 2.0676,                 2.5406,                 2.6207,              0.0012357,              0.0012357,              0.0012357
                     43,                 2.0978,                 2.6715,                 2.3445,                0.40795,                0.07692,                 0.1358,                0.05227,                 2.0491,                 2.7157,                 2.6155,              0.0012309,              0.0012309,              0.0012309
                     44,                 2.0208,                 2.4928,                 2.2533,                0.21847,                0.37241,                0.20304,                0.10193,                 2.2654,                 2.5788,                 2.7234,              0.0012262,              0.0012262,              0.0012262
                     45,                 1.9278,                 2.3258,                 2.1548,                0.19869,                 0.2909,                0.22632,                0.11692,                 2.0028,                 2.6361,                 2.5398,              0.0012215,              0.0012215,              0.0012215
                     46,                 1.9178,                 2.3422,                 2.1748,                 0.3781,                0.51221,                0.41548,                0.17097,                 2.1206,                 2.0086,                 2.5981,              0.0012168,              0.0012168,              0.0012168
                     47,                 1.8621,                 2.2143,                  2.081,                0.64816,                0.39225,                0.35037,                0.14945,                 1.9113,                 2.4578,                 2.4839,              0.0012121,              0.0012121,              0.0012121
                     48,                 1.8943,                 2.2835,                 2.1601,                0.36734,                0.38571,                0.35357,                0.17689,                 2.3609,                 1.9993,                 2.9021,              0.0012074,              0.0012074,              0.0012074
                     49,                 1.9011,                   2.25,                 2.1243,                0.57846,                0.22924,                 0.2483,                0.11231,                 1.9507,                 2.5432,                 2.4141,              0.0012026,              0.0012026,              0.0012026
                     50,                 1.8712,                 2.1941,                 2.1278,                0.36103,                0.44961,                0.31772,                 0.1604,                 1.9789,                 1.9942,                 2.4946,              0.0011979,              0.0011979,              0.0011979
                     51,                 1.8681,                 2.2135,                  2.087,                 0.3761,                0.31288,                 0.2403,                 0.1137,                 1.8656,                 2.3253,                 2.3631,              0.0011932,              0.0011932,              0.0011932
                     52,                 1.8568,                 2.1745,                  2.095,                0.27043,                0.34735,                0.31177,                0.13277,                 1.9164,                 2.1465,                 2.3874,              0.0011885,              0.0011885,              0.0011885
                     53,                 1.7816,                 2.1742,                 2.0752,                 0.2863,                0.33822,                0.28854,                0.19164,                 1.7121,                 2.3324,                   2.29,              0.0011838,              0.0011838,              0.0011838
                     54,                 1.7719,                 2.1159,                  2.046,                0.18799,                 0.3168,                0.17171,                0.12144,                 1.8167,                  2.898,                 2.4406,              0.0011791,              0.0011791,              0.0011791
                     55,                 1.8478,                  2.143,                 2.0905,                0.42307,                0.48504,                0.39945,                0.20548,                 2.0017,                 1.9096,                 2.5825,              0.0011744,              0.0011744,              0.0011744
                     56,                 1.7064,                 2.0939,                 2.0174,                0.29018,                0.32839,                0.32751,                0.16046,                 1.8329,                 2.0149,                 2.3589,              0.0011696,              0.0011696,              0.0011696
                     57,                 1.7989,                  2.062,                 2.0609,                0.37044,                 0.5416,                 0.4688,                0.23166,                 2.0133,                  1.773,                 2.4472,              0.0011649,              0.0011649,              0.0011649
                     58,                 1.8322,                 2.1449,                 2.0847,                0.46431,                0.26313,                0.27761,                0.13624,                 1.9046,                 2.4181,                 2.3657,              0.0011602,              0.0011602,              0.0011602
                     59,                 1.7573,                  2.065,                 2.0041,                0.35714,                0.28521,                0.32707,                0.18979,                  1.889,                   2.79,                 2.3689,              0.0011555,              0.0011555,              0.0011555
                     60,                 1.7391,                 2.1239,                 1.9964,                0.44063,                0.33608,                0.37491,                0.20433,                 1.9191,                 2.1115,                 2.3681,              0.0011508,              0.0011508,              0.0011508
                     61,                  1.727,                 2.0067,                 1.9844,                0.43811,                0.33608,                0.43587,                0.24188,                 1.7247,                 1.8026,                 2.1963,              0.0011461,              0.0011461,              0.0011461
                     62,                 1.7131,                 2.0794,                 1.9963,                0.31695,                0.49237,                 0.3801,                0.22232,                 1.7503,                  1.751,                 2.2988,              0.0011413,              0.0011413,              0.0011413
                     63,                 1.7373,                 2.0743,                 2.0021,                0.29426,                 0.4072,                0.30399,                 0.1659,                 1.6015,                  2.013,                 2.2502,              0.0011366,              0.0011366,              0.0011366
                     64,                 1.7964,                 2.0042,                 2.0113,                0.52351,                 0.5214,                0.50706,                0.23786,                 1.9533,                 1.5998,                 2.4639,              0.0011319,              0.0011319,              0.0011319
                     65,                 1.7486,                 2.0081,                 1.9948,                0.50865,                0.36783,                0.40969,                0.25251,                 1.5599,                  1.761,                 2.0828,              0.0011272,              0.0011272,              0.0011272
                     66,                 1.7437,                 2.0284,                 1.9634,                0.23936,                0.36416,                0.26691,                 0.1509,                 1.6882,                 2.5846,                 2.1523,              0.0011225,              0.0011225,              0.0011225
                     67,                 1.7283,                 1.9991,                 1.9653,                0.41979,                0.54382,                0.45461,                0.24137,                 1.9353,                 1.6845,                 2.3623,              0.0011178,              0.0011178,              0.0011178
                     68,                 1.6936,                 1.9062,                 1.9155,                 0.4877,                0.36813,                0.43693,                0.22016,                 1.6256,                 1.9133,                 2.0575,               0.001113,               0.001113,               0.001113
                     69,                  1.649,                 1.9469,                 1.9007,                0.41986,                0.52045,                0.42966,                0.20732,                 1.9979,                 1.7054,                  2.414,              0.0011083,              0.0011083,              0.0011083
                     70,                 1.6193,                 1.8606,                 1.9209,                0.33551,                 0.3663,                0.27175,                0.15747,                 1.9376,                 3.1325,                 2.3838,              0.0011036,              0.0011036,              0.0011036
                     71,                 1.6462,                 1.9808,                 1.8858,                0.39284,                0.60348,                0.57695,                0.29864,                  1.678,                 1.7605,                 2.1909,              0.0010989,              0.0010989,              0.0010989
                     72,                 1.6114,                 1.8857,                 1.8671,                0.27888,                0.62582,                0.48324,                0.23298,                 1.6549,                 1.6947,                 2.1856,              0.0010942,              0.0010942,              0.0010942
                     73,                 1.7008,                 1.9342,                 1.9158,                0.34669,                0.42484,                0.40267,                0.22465,                 1.6481,                 1.7177,                 2.2223,              0.0010895,              0.0010895,              0.0010895
                     74,                  1.578,                 1.8562,                 1.8605,                0.41094,                0.49975,                0.40131,                0.24759,                 1.5879,                 1.9151,                 2.1219,              0.0010848,              0.0010848,              0.0010848
                     75,                 1.6246,                 1.8314,                 1.8785,                0.35453,                0.59554,                 0.4896,                 0.2711,                 1.5393,                 1.6423,                 2.0194,                0.00108,                0.00108,                0.00108
                     76,                 1.5763,                 1.7783,                 1.8392,                0.45011,                0.39774,                0.43541,                0.24888,                 1.6787,                 1.9328,                 2.1821,              0.0010753,              0.0010753,              0.0010753
                     77,                 1.6707,                 1.9061,                 1.9525,                0.52338,                 0.4649,                0.50147,                0.28173,                 1.6672,                 1.5836,                 2.1593,              0.0010706,              0.0010706,              0.0010706
                     78,                 1.5928,                 1.9052,                 1.9052,                0.61458,                0.47235,                 0.5548,                0.27015,                  1.836,                 1.5203,                 2.2226,              0.0010659,              0.0010659,              0.0010659
                     79,                 1.5832,                  1.859,                 1.8702,                0.59143,                0.34265,                0.40341,                0.26309,                 1.6759,                 2.2654,                 2.1641,              0.0010612,              0.0010612,              0.0010612
                     80,                 1.5613,                 1.8178,                 1.8346,                0.52935,                0.52625,                0.53269,                0.31683,                 1.7226,                 1.4731,                 2.0969,              0.0010565,              0.0010565,              0.0010565
                     81,                 1.5117,                 1.7337,                 1.8327,                0.45365,                0.54396,                0.54138,                0.32748,                 1.4183,                 1.4323,                 1.9354,              0.0010517,              0.0010517,              0.0010517
                     82,                 1.5485,                 1.7556,                 1.8253,                0.33333,                0.57251,                0.51767,                0.29922,                 1.5682,                 1.7005,                 1.9898,               0.001047,               0.001047,               0.001047
                     83,                 1.6489,                 1.8234,                 1.8982,                0.34948,                0.49789,                0.48261,                0.22517,                 1.8855,                 1.6519,                 2.4063,              0.0010423,              0.0010423,              0.0010423
                     84,                  1.598,                 1.7359,                 1.8599,                0.40722,                0.57954,                0.52055,                0.30494,                  1.576,                 1.5841,                 2.1215,              0.0010376,              0.0010376,              0.0010376
                     85,                 1.5375,                 1.8255,                 1.8301,                0.45202,                0.59768,                 0.5541,                0.31791,                 1.3799,                 1.3655,                 1.9046,              0.0010329,              0.0010329,              0.0010329
                     86,                 1.5677,                 1.8169,                 1.8775,                  0.526,                0.33394,                 0.4018,                0.21821,                 1.8275,                 1.6852,                 2.3275,              0.0010282,              0.0010282,              0.0010282
                     87,                 1.5312,                 1.7035,                 1.7999,                0.42484,                0.54079,                0.50792,                0.32168,                 1.4381,                 1.8075,                 1.9427,              0.0010234,              0.0010234,              0.0010234
                     88,                 1.4875,                 1.6845,                 1.7712,                0.38344,                0.49481,                 0.4876,                0.32546,                 1.5351,                 1.7077,                 2.0816,              0.0010187,              0.0010187,              0.0010187
                     89,                 1.5621,                 1.8107,                 1.8248,                0.58476,                0.43315,                0.46549,                0.27278,                 1.6479,                 1.6549,                 2.0703,               0.001014,               0.001014,               0.001014
                     90,                 1.5002,                 1.7281,                 1.8219,                0.52418,                0.28907,                0.38662,                0.25634,                  1.703,                 2.2588,                 2.1412,              0.0010093,              0.0010093,              0.0010093
                     91,                 1.5316,                 1.7762,                 1.8132,                0.47811,                0.51832,                0.58341,                0.35889,                 1.7075,                 1.5603,                 2.1509,              0.0010046,              0.0010046,              0.0010046
                     92,                 1.4739,                 1.7024,                 1.7958,                0.60963,                 0.5178,                0.50518,                0.28181,                 1.6259,                 1.7008,                 2.1435,             0.00099987,             0.00099987,             0.00099987
                     93,                 1.5175,                 1.7244,                 1.8047,                0.47467,                0.54212,                0.46954,                0.26592,                 1.7759,                 1.7596,                  2.175,             0.00099516,             0.00099516,             0.00099516
                     94,                  1.505,                 1.6883,                 1.8235,                0.57807,                0.50676,                0.58503,                0.30701,                 1.7001,                 1.5149,                 2.1616,             0.00099044,             0.00099044,             0.00099044
                     95,                  1.543,                 1.7695,                 1.8379,                0.42002,                0.64722,                0.52727,                0.30244,                 1.6836,                 1.4524,                 2.1181,             0.00098572,             0.00098572,             0.00098572
                     96,                 1.4602,                 1.6482,                 1.7306,                0.48032,                0.47131,                0.47639,                0.26581,                 1.6265,                 1.6121,                 2.0804,             0.00098101,             0.00098101,             0.00098101
                     97,                 1.4965,                 1.6784,                 1.7755,                0.40412,                0.66234,                0.58173,                0.30534,                 1.7945,                 1.4514,                 2.2842,             0.00097629,             0.00097629,             0.00097629
                     98,                 1.5277,                 1.7243,                 1.7861,                0.45584,                0.49878,                0.46559,                0.25147,                  1.569,                 1.9413,                 2.1619,             0.00097158,             0.00097158,             0.00097158
                     99,                  1.508,                  1.739,                 1.7836,                0.65516,                0.59768,                0.64433,                0.39041,                 1.6298,                 1.4553,                 2.0745,             0.00096686,             0.00096686,             0.00096686
                    100,                 1.4252,                 1.6234,                 1.7276,                0.35714,                0.54426,                0.43889,                 0.2863,                 1.6779,                 1.5663,                 2.1256,             0.00096215,             0.00096215,             0.00096215
                    101,                 1.4518,                 1.5721,                 1.7476,                0.50819,                 0.5942,                0.55508,                0.29789,                 1.7393,                 1.6887,                 2.2128,             0.00095743,             0.00095743,             0.00095743
                    102,                 1.4865,                 1.6395,                 1.7447,                0.43046,                0.59296,                0.48867,                0.27392,                 1.5331,                 1.5894,                 2.0483,             0.00095271,             0.00095271,             0.00095271
                    103,                 1.4781,                  1.696,                 1.7737,                0.55491,                0.68029,                0.66029,                0.36652,                 1.4929,                 1.4947,                 1.9286,               0.000948,               0.000948,               0.000948
                    104,                 1.4631,                 1.6895,                 1.7622,                0.54632,                0.36416,                0.37054,                0.25136,                 1.6451,                 2.1519,                 2.2257,             0.00094328,             0.00094328,             0.00094328
                    105,                 1.4714,                 1.6673,                 1.7477,                0.41688,                0.64586,                0.60086,                0.33195,                  1.832,                 1.5215,                 2.2609,             0.00093857,             0.00093857,             0.00093857
                    106,                 1.5202,                 1.7343,                 1.7589,                0.52116,                0.60745,                0.60145,                0.35297,                  1.619,                 1.5157,                 2.1658,             0.00093385,             0.00093385,             0.00093385
                    107,                 1.4447,                 1.6965,                  1.747,                0.50929,                0.39164,                0.46728,                0.28815,                 1.8566,                 1.7535,                 2.4762,             0.00092914,             0.00092914,             0.00092914
                    108,                 1.4444,                 1.6768,                 1.7482,                0.52718,                0.78388,                0.62086,                0.35125,                 1.5956,                 1.3756,                 2.0535,             0.00092442,             0.00092442,             0.00092442
                    109,                 1.4058,                 1.5449,                 1.7075,                0.49234,                0.49341,                0.48025,                 0.3491,                 1.6795,                 1.6634,                 2.0758,              0.0009197,              0.0009197,              0.0009197
                    110,                 1.4708,                 1.7031,                 1.7737,                0.41194,                0.58613,                0.49635,                0.33635,                 1.4295,                 1.4291,                 1.8988,             0.00091499,             0.00091499,             0.00091499
                    111,                 1.4665,                 1.6851,                 1.7493,                0.39938,                0.70482,                 0.5273,                0.30533,                 1.6864,                 1.3859,                 2.1434,             0.00091027,             0.00091027,             0.00091027
                    112,                 1.4521,                 1.5916,                 1.7301,                0.46268,                0.69292,                0.60932,                 0.3813,                 1.4431,                  1.501,                  1.915,             0.00090556,             0.00090556,             0.00090556
                    113,                  1.472,                 1.6072,                 1.7551,                0.72528,                0.52152,                0.65087,                0.34081,                 1.6467,                 1.3504,                 2.1021,             0.00090084,             0.00090084,             0.00090084
                    114,                 1.4272,                 1.5731,                 1.7011,                0.47434,                 0.6232,                0.57223,                0.35119,                 1.4931,                 1.3318,                 1.9161,             0.00089613,             0.00089613,             0.00089613
                    115,                 1.4142,                 1.5565,                 1.7143,                0.46001,                0.64719,                0.67198,                0.42607,                 1.5753,                 1.4358,                 2.0467,             0.00089141,             0.00089141,             0.00089141
                    116,                 1.4189,                 1.5974,                 1.7173,                 0.4504,                0.60305,                0.55342,                0.33881,                  1.331,                 1.5297,                 1.8673,             0.00088669,             0.00088669,             0.00088669
